Company,Model,Horsepower,Torque,Transmission Type,Drivetrain,Fuel Economy,Number of Doors,Price,Model Year Range,Body Type,Engine Type,Number of Cylinders
Alfa Romeo,Giulia,280 hp,306 lb-ft,8-speed automatic,Rear-wheel drive,23/32 mpg,4,"Starting at $39,900",2023-2024,Sedan,4-cylinder,4
Alfa Romeo,Giulia Quadrifoglio,505 hp,443 lb-ft,8-speed automatic,Rear-wheel drive,18/23 mpg,4,"Starting at $70,900",2023-2024,Sedan,V6,6
Alfa Romeo,Stelvio,280 hp,306 lb-ft,8-speed automatic,All-wheel drive,21/27 mpg,5,"Starting at $41,900",2023-2024,SUV,4-cylinder,4
Alfa Romeo,Stelvio Quadrifoglio,505 hp,443 lb-ft,8-speed automatic,All-wheel drive,18/23 mpg,5,"Starting at $79,900",2023-2024,SUV,V6,6
Peugeot,208,108 hp,138 lb-ft,5-speed manual,Front-wheel drive,27/37 mpg,5,"Starting at $18,000",2023-2024,Hatchback,3-cylinder,3
Peugeot,2008,175 hp,195 lb-ft,8-speed automatic,Front-wheel drive,25/33 mpg,5,"Starting at $24,000",2023-2024,SUV,3-cylinder,3
Peugeot,308,158 hp,184 lb-ft,8-speed automatic,Front-wheel drive,27/37 mpg,5,"Starting at $26,000",2023-2024,Sedan,4-cylinder,4
Peugeot,3008,180 hp,199 lb-ft,8-speed automatic,Front-wheel drive,25/33 mpg,5,"Starting at $30,000",2023-2024,SUV,4-cylinder,4
Peugeot,508,272 hp,332 lb-ft,8-speed automatic,Rear-wheel drive,22/30 mpg,5,"Starting at $34,000",2023-2024,Sedan,V6,6
Peugeot,5008,180 hp,199 lb-ft,8-speed automatic,Front-wheel drive,25/33 mpg,7,"Starting at $36,000",2023-2024,SUV,4-cylinder,4
Citroën,C1,70 hp,74 lb-ft,5-speed manual,Front-wheel drive,32.5/42.5 mpg,3,"Starting at $15,490",2023-2024,Hatchback,3-cylinder,3
Citroën,C3,109 hp,122 lb-ft,5-speed manual,Front-wheel drive,30.1/40.9 mpg,5,"Starting at $18,990",2023-2024,Hatchback,3-cylinder,3
Citroën,C3 Aircross,119 hp,138 lb-ft,8-speed automatic,Front-wheel drive,27/38 mpg,5,"Starting at $23,990",2023-2024,SUV,3-cylinder,3
Citroën,C4,153 hp,170 lb-ft,8-speed automatic,Front-wheel drive,28/39 mpg,5,"Starting at $24,990",2023-2024,Sedan,4-cylinder,4
Citroën,C5 Aircross,175 hp,195 lb-ft,8-speed automatic,Front-wheel drive,25/33 mpg,5,"Starting at $28,990",2023-2024,SUV,4-cylinder,4
Renault,Arkana,148 hp,162 lb-ft,7-speed DCT,Front-wheel drive,26/35 mpg,5,"Starting at $27,990",2023-2024,SUV,4-cylinder,4
Renault,Captur,154 hp,184 lb-ft,7-speed DCT,Front-wheel drive,28/38 mpg,5,"Starting at $23,990",2023-2024,SUV,4-cylinder,4
Renault,Clio,138 hp,148 lb-ft,6-speed manual,Front-wheel drive,30.1/40.9 mpg,5,"Starting at $22,990",2023-2024,Hatchback,4-cylinder,4
Renault,Megane,188 hp,221 lb-ft,7-speed DCT,Front-wheel drive,28/38 mpg,5,"Starting at $26,990",2023-2024,Sedan,4-cylinder,4
Renault,Zoe,134 hp,184 lb-ft,Single-speed automatic,Rear-wheel drive,119 MPGe,5,"Starting at $29,990",2023-2024,Hatchback,Electric,0
Skoda,Fabia,95 hp,118 lb-ft,5-speed manual,Front-wheel drive,28/39 mpg,5,"Starting at $17,990",2023-2024,Hatchback,3-cylinder,3
Skoda,Scala,110 hp,148 lb-ft,6-speed manual,Front-wheel drive,28/39 mpg,5,"Starting at $22,990",2023-2024,Hatchback,4-cylinder,4
Skoda,Octavia,148 hp,184 lb-ft,7-speed DSG,Front-wheel drive,28/39 mpg,5,"Starting at $26,990",2023-2024,Sedan,4-cylinder,4
Skoda,Superb,188 hp,221 lb-ft,7-speed DSG,Front-wheel drive,25/33 mpg,5,"Starting at $32,990",2023-2024,Sedan,4-cylinder,4
Skoda,Karoq,148 hp,184 lb-ft,7-speed DSG,Front-wheel drive,25/33 mpg,5,"Starting at $27,990",2023-2024,SUV,4-cylinder,4
Skoda,Kodiaq,188 hp,221 lb-ft,7-speed DSG,Front-wheel drive,21/28 mpg,7,"Starting at $32,990",2023-2024,SUV,4-cylinder,4
Skoda,Enyaq iV,201 hp,221 lb-ft,Single-speed automatic,Rear-wheel drive,77 MPGe,5,"Starting at $39,990",2023-2024,SUV,Electric,0
SEAT,Arona,110 hp,148 lb-ft,6-speed manual,Front-wheel drive,28/39 mpg,5,"Starting at $22,990",2023-2024,SUV,4-cylinder,4
SEAT,Ibiza,110 hp,148 lb-ft,6-speed manual,Front-wheel drive,28/39 mpg,5,"Starting at $19,990",2023-2024,Hatchback,4-cylinder,4
SEAT,Leon,148 hp,184 lb-ft,7-speed DSG,Front-wheel drive,28/39 mpg,5,"Starting at $26,990",2023-2024,Sedan,4-cylinder,4
SEAT,Leon Sportstourer,148 hp,184 lb-ft,7-speed DSG,Front-wheel drive,28/39 mpg,5,"Starting at $28,990",2023-2024,Wagon,4-cylinder,4
SEAT,Tarraco,188 hp,221 lb-ft,7-speed DSG,Front-wheel drive,21/28 mpg,7,"Starting at $32,990",2023-2024,SUV,4-cylinder,4
SEAT,Mii,70 hp,74 lb-ft,5-speed manual,Front-wheel drive,32.5/42.5 mpg,3,"Starting at $15,490",2023-2024,Hatchback,3-cylinder,3
SEAT,Born,201 hp,221 lb-ft,Single-speed automatic,Rear-wheel drive,77 MPGe,5,"Starting at $39,990",2023-2024,Hatchback,Electric,0
Opel/Vauxhall,Adam,70 hp,74 lb-ft,5-speed manual,Front-wheel drive,32.5/42.5 mpg,3,"Starting at $15,490",2023-2024,Hatchback,3-cylinder,3
Opel/Vauxhall,Corsa,108 hp,138 lb-ft,5-speed manual,Front-wheel drive,27/37 mpg,5,"Starting at $18,000",2023-2024,Hatchback,3-cylinder,3
Opel/Vauxhall,Astra,158 hp,184 lb-ft,8-speed automatic,Front-wheel drive,27/37 mpg,5,"Starting at $26,000",2023-2024,Sedan,4-cylinder,4
Opel/Vauxhall,Insignia,272 hp,332 lb-ft,8-speed automatic,Rear-wheel drive,22/30 mpg,5,"Starting at $34,000",2023-2024,Sedan,V6,6
Opel/Vauxhall,Mokka,175 hp,195 lb-ft,8-speed automatic,Front-wheel drive,25/33 mpg,5,"Starting at $24,000",2023-2024,SUV,3-cylinder,3
Opel/Vauxhall,Grandland,180 hp,199 lb-ft,8-speed automatic,Front-wheel drive,25/33 mpg,5,"Starting at $30,000",2023-2024,SUV,4-cylinder,4
Opel/Vauxhall,Crossland,119 hp,138 lb-ft,8-speed automatic,Front-wheel drive,27/38 mpg,5,"Starting at $23,990",2023-2024,SUV,3-cylinder,3
Opel/Vauxhall,Combo,108 hp,138 lb-ft,5-speed manual,Front-wheel drive,27/37 mpg,5,"Starting at $18,000",2023-2024,Van,3-cylinder,3
Opel/Vauxhall,Vivaro,148 hp,184 lb-ft,8-speed automatic,Front-wheel drive,25/33 mpg,5,"Starting at $27,990",2023-2024,Van,4-cylinder,4
Opel/Vauxhall,Movano,180 hp,199 lb-ft,8-speed automatic,Front-wheel drive,21/28 mpg,7,"Starting at $32,990",2023-2024,Van,4-cylinder,4
Mini,Cooper,134 hp,162 lb-ft,7-speed dual-clutch automatic,Front-wheel drive,28/37 mpg,3,"Starting at $24,000",2023-2024,Hatchback,3-cylinder,3
Mini,Cooper S,189 hp,207 lb-ft,7-speed dual-clutch automatic,Front-wheel drive,27/36 mpg,3,"Starting at $28,000",2023-2024,Hatchback,4-cylinder,4
Mini,John Cooper Works,228 hp,236 lb-ft,8-speed automatic,Front-wheel drive,25/33 mpg,3,"Starting at $33,000",2023-2024,Hatchback,4-cylinder,4
Mini,Cooper SE,181 hp,199 lb-ft,Single-speed automatic,Rear-wheel drive,119 MPGe,5,"Starting at $30,000",2023-2024,Hatchback,Electric,0
Mini,Countryman,189 hp,207 lb-ft,7-speed dual-clutch automatic,Front-wheel drive,24/31 mpg,5,"Starting at $29,000",2023-2024,SUV,4-cylinder,4
Mini,Clubman,189 hp,207 lb-ft,7-speed dual-clutch automatic,All-wheel drive,24/31 mpg,5,"Starting at $32,000",2023-2024,Wagon,4-cylinder,4
Mini,Paceman,189 hp,207 lb-ft,7-speed dual-clutch automatic,All-wheel drive,24/31 mpg,5,"Starting at $33,000",2023-2024,SUV,4-cylinder,4
Mini,Countryman John Cooper Works,301 hp,332 lb-ft,8-speed automatic,All-wheel drive,22/29 mpg,5,"Starting at $40,000",2023-2024,SUV,4-cylinder,4
Saab,09-May,250 hp,273 lb-ft,6-speed automatic,Front-wheel drive,19/28 mpg,4,"Starting at $37,990",2011,Sedan,turbocharged inline-4,4
Saab,09-Mar,227 hp,236 lb-ft,6-speed automatic,Front-wheel drive,20/29 mpg,4,"Starting at $32,990",2011,Sedan,turbocharged inline-4,4
Saab,9-3 Convertible,227 hp,236 lb-ft,6-speed automatic,Front-wheel drive,19/28 mpg,2,"Starting at $39,990",2011,Convertible,turbocharged inline-4,4
Saab,9-5 SportCombi,250 hp,273 lb-ft,6-speed automatic,All-wheel drive,18/26 mpg,5,"Starting at $42,990",2011,Wagon,turbocharged inline-4,4
Dodge,Grand Caravan,283 hp,260 lb-ft,Automatic,FWD,20 mpg,4 or 5,"$28,530-$34,490",1984-2020,Van,Gas V6,6
Dodge,Challenger SRT Demon,840 hp,770 lb-ft,Automatic,RWD,13 mpg,2,"$84,995",2018,Coupe,Gas V8,8
Dodge,Viper,645-640 hp,600-600 lb-ft,Manual,RWD,13-21 mpg,2,"$87,895-$90,390",1992-2017,Coupe/Convertible,Gas V10,10
Bugatti,Chiron,"1,500 hp","1,180 lb-ft",7-speed dual-clutch automatic,All-wheel drive,11 mpg,2,"$3,000,000",2016-Present,Coupe,W16,16
Bugatti,Veyron,"1,001 hp",750 lb-ft,7-speed dual-clutch automatic,All-wheel drive,9 mpg,2,"$1,700,000",2005-2015,Coupe,W16,16
Bugatti,EB 110,552 hp,451 lb-ft,4-speed automatic,All-wheel drive,13 mpg,2,"$1,100,000",1991-1995,Coupe,W16,16
Bugatti,EB 110 SS,611 hp,451 lb-ft,4-speed automatic,All-wheel drive,13 mpg,2,"$1,300,000",1993-1995,Coupe,W16,16
Maserati,Ghibli,345 hp,369 lb-ft,8-speed shiftable automatic,RWD,19/26 mpg,4,"$74,390",2014 - present,Sedan,Twin-turbocharged V6,6
Maserati,Quattroporte,424 hp,428 lb-ft,8-speed shiftable automatic,RWD,16/23 mpg,4,"$102,390",2013 - present,Sedan,Twin-turbocharged V6 or V8,6 or 8
Maserati,Levante,345 hp,369 lb-ft,8-speed shiftable automatic,AWD,16/22 mpg,4,"$77,890",2017 - present,SUV,Twin-turbocharged V6,6
Maserati,GranTurismo,454 hp,384 lb-ft,6-speed shiftable automatic,RWD,13/20 mpg,2,"$134,300",2008 - present,Coupe/Convertible,Naturally aspirated V8,8
Lancia,Stratos HF,190 hp,166 lb-ft,5-speed manual,Rear-wheel drive,N/A,2,N/A,1973-1978,Coupe,2.4L V6,6
Lancia,Delta Integrale,215 hp,231 lb-ft,5-speed manual,All-wheel drive,N/A,5,N/A,1987-1994,Hatchback,2.0L turbocharged inline-4,4
Lancia,Thema 8.32,215 hp,213 lb-ft,5-speed manual,Front-wheel drive,N/A,4,N/A,1986-1994,Sedan,3.0L V8,8
Lancia,Aurelia B24,118 hp,136 lb-ft,4-speed manual,Rear-wheel drive,N/A,2,N/A,1954-1955,"Coupe, Convertible",2.5L V6,6
Lancia,Fulvia,115 hp,108 lb-ft,5-speed manual,Front-wheel drive,N/A,2,N/A,1963-1976,Coupe,1.3L inline-4,4
Pagani,Huayra,730 hp,738 lb-ft,7-speed sequential manual,Rear-wheel drive,12 mpg,2,$2.6 million,2011-Present,Coupe,V12,12
Pagani,Zonda,760 hp,780 lb-ft,6-speed sequential manual,Rear-wheel drive,10 mpg,2,$1.5 million,1999-2015,Coupe,V12,12
